split,ticket_id,repo,title,outcome,automatic_failure_stage,reviewed_failure_stage,reviewed_failure_stage_zh,review_status,manual_inspection,review_note,gold_files,missing_gold_files,index_absence_details,evidence_issues
frozen_holdout_v1_posthoc,astropy__astropy-13075,astropy/astropy,Register format ``html`` to ``Cosmology.write`` with nice mathjax,partial_recall,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：file_absent_at_base_commit=1。,astropy/cosmology/io/__init__.py | astropy/cosmology/io/html.py,astropy/cosmology/io/html.py,"[{""gold_file"": ""astropy/cosmology/io/html.py"", ""reason"": ""file_absent_at_base_commit""}]",
frozen_holdout_v1_posthoc,astropy__astropy-14439,astropy/astropy,Regarding FITS standard definition for 'Jy/beam',partial_recall,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；1個遺漏檔案存在索引中，但未進入TF-IDF前50名。,astropy/modeling/physical_models.py | astropy/units/format/generic.py,astropy/modeling/physical_models.py,[],
frozen_holdout_v1_posthoc,astropy__astropy-13158,astropy/astropy,Model evaluation fails if any model parameter is a `MagUnit` type value,partial_recall,mixed_retrieval_and_rerank,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,confirmed,completed,分類正確；包含2個初步檢索遺漏與4個SBERT重排遺漏。,astropy/modeling/bounding_box.py | astropy/modeling/core.py | astropy/modeling/functional_models.py | astropy/modeling/parameters.py | astropy/modeling/powerlaws.py | astropy/modeling/rotations.py | astropy/modeling/utils.py,astropy/modeling/bounding_box.py | astropy/modeling/functional_models.py | astropy/modeling/parameters.py | astropy/modeling/powerlaws.py | astropy/modeling/rotations.py | astropy/modeling/utils.py,[],
frozen_holdout_v1_posthoc,astropy__astropy-14566,astropy/astropy,"Problem with ""decimalyear"" applied to MaskedColumn type",miss,reranker_demotion,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,confirmed,completed,分類正確；正確檔案原在TF-IDF第21名，重排後未進Top-20。,astropy/time/formats.py,astropy/time/formats.py,[],
validation,astropy__astropy-13398,astropy/astropy,A direct approach to ITRS to Observed transformations that stays within the ITRS.,partial_recall,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：file_absent_at_base_commit=1。,astropy/coordinates/builtin_frames/__init__.py | astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py | astropy/coordinates/builtin_frames/itrs.py | astropy/coordinates/builtin_frames/itrs_observed_transforms.py,astropy/coordinates/builtin_frames/itrs_observed_transforms.py,"[{""gold_file"": ""astropy/coordinates/builtin_frames/itrs_observed_transforms.py"", ""reason"": ""file_absent_at_base_commit""}]",
validation,astropy__astropy-8715,astropy/astropy,Silence warnings by default when reading in VO Tables,partial_recall,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；1個遺漏檔案存在索引中，但未進入TF-IDF前50名。,astropy/io/votable/__init__.py | astropy/io/votable/connect.py | astropy/io/votable/converters.py | astropy/io/votable/exceptions.py | astropy/io/votable/table.py | astropy/io/votable/tree.py | astropy/io/votable/validator/result.py,astropy/io/votable/validator/result.py,[],
validation,django__django-11539,django/django,Move index name checks from Index.__init__ into system checks.,miss,mixed_retrieval_and_rerank,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,confirmed,completed,分類正確；包含1個初步檢索遺漏與1個SBERT重排遺漏。,django/db/models/base.py | django/db/models/indexes.py,django/db/models/base.py | django/db/models/indexes.py,[],
validation,astropy__astropy-12842,astropy/astropy,No longer able to read BinnedTimeSeries with datetime column saved as ECSV after upgrading from 4.2.1 -> 5.0+,partial_recall,reranker_demotion,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,confirmed,completed,分類正確；正確檔案原在TF-IDF第43名，重排後未進Top-20。,astropy/time/core.py | astropy/time/formats.py,astropy/time/formats.py,[],
frozen_holdout_v1_posthoc,pydata__xarray-6971,pydata/xarray,Public API for setting new indexes: add a set_xindex method?,partial_recall,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：file_absent_at_base_commit=1。,xarray/core/dataarray.py | xarray/core/dataset.py | xarray/core/indexes.py | xarray/indexes/__init__.py,xarray/indexes/__init__.py,"[{""gold_file"": ""xarray/indexes/__init__.py"", ""reason"": ""file_absent_at_base_commit""}]",
frozen_holdout_v1_posthoc,django__django-17046,django/django,Deleting objects after searching related many to many field crashes the admin page,partial_recall,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；1個遺漏檔案存在索引中，但未進入TF-IDF前50名。,django/contrib/admin/views/main.py | django/db/models/query.py,django/contrib/admin/views/main.py,[],
