priority,priority_zh,ticket_id,repo,repository_size_group,indexed_file_count,top_level_module_count,large_multimodule,outcome,failure_stage,failure_stage_zh,gold_file_count,recovered_gold_count,missing_gold_files
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,matplotlib__matplotlib-22945,matplotlib/matplotlib,large,1030,10,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,lib/matplotlib/collections.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-22383,sympy/sympy,large,879,7,True,miss,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,5,0,bin/authors_update.py | bin/mailmap_update.py | setup.py | sympy/__init__.py | sympy/core/numbers.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-22080,sympy/sympy,large,873,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,0,sympy/printing/codeprinter.py | sympy/printing/precedence.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-20691,sympy/sympy,large,871,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,7,3,sympy/core/kind.py | sympy/core/power.py | sympy/functions/elementary/exponential.py | sympy/matrices/expressions/determinant.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-21931,sympy/sympy,large,871,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,17,6,sympy/calculus/singularities.py | sympy/calculus/util.py | sympy/categories/baseclasses.py | sympy/core/function.py | sympy/logic/boolalg.py | sympy/printing/str.py | sympy/solvers/inequalities.py | sympy/solvers/solveset.py | sympy/stats/rv_interface.py | sympy/stats/stochastic_process_types.py | sympy/vector/implicitregion.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,astropy__astropy-8747,astropy/astropy,large,867,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,5,4,astropy/utils/compat/numpycompat.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-21432,sympy/sympy,large,861,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,sympy/functions/elementary/complexes.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-21627,sympy/sympy,large,861,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/functions/elementary/complexes.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-21379,sympy/sympy,large,860,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/mod.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-21260,sympy/sympy,large,855,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,8,1,sympy/core/basic.py | sympy/core/numbers.py | sympy/core/singleton.py | sympy/functions/elementary/miscellaneous.py | sympy/physics/paulialgebra.py | sympy/sets/fancysets.py | sympy/sets/sets.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-21208,sympy/sympy,large,854,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/matrices/expressions/matexpr.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-20590,sympy/sympy,large,827,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/_print_helpers.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-16311,django/django,large,821,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,django/utils/text.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-16281,django/django,large,820,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/backends/sqlite3/schema.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-16816,django/django,large,819,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/contrib/admin/checks.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-20322,sympy/sympy,large,819,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/mul.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-16599,django/django,large,818,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/models/lookups.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-17087,django/django,large,818,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/migrations/serializer.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-15352,django/django,large,817,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/views/debug.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-15925,django/django,large,816,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/backends/sqlite3/schema.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-12821,django/django,large,815,5,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,3,1,django/contrib/admin/helpers.py | django/contrib/admin/options.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-15629,django/django,large,815,5,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,4,1,django/db/backends/base/schema.py | django/db/backends/oracle/features.py | django/db/backends/sqlite3/schema.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-11564,django/django,large,813,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/conf/__init__.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-11815,django/django,large,813,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/migrations/serializer.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-11885,django/django,large,813,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,django/contrib/admin/utils.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-12113,django/django,large,813,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/backends/sqlite3/creation.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-12304,django/django,large,813,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/models/enums.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-12396,django/django,large,813,5,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,6,3,django/core/checks/database.py | django/core/management/commands/check.py | django/core/management/commands/migrate.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-12519,django/django,large,813,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,1,django/db/backends/mysql/base.py | django/db/backends/mysql/validation.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-12771,django/django,large,813,5,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,5,3,django/db/migrations/autodetector.py | django/db/migrations/operations/utils.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-15139,django/django,large,813,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,4,3,django/contrib/sessions/backends/base.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-15388,django/django,large,813,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/template/autoreload.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-11677,django/django,large,812,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/models/sql/where.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-12313,django/django,large,812,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,django/db/models/fields/related.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14722,django/django,large,811,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/migrations/autodetector.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14894,django/django,large,811,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,6,5,django/contrib/postgres/aggregates/statistics.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14997,django/django,large,811,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/backends/ddl_references.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-15052,django/django,large,811,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,django/contrib/postgres/aggregates/mixins.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14313,django/django,large,810,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,1,django/contrib/admin/views/main.py | django/db/models/sql/compiler.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14399,django/django,large,810,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/conf/__init__.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14149,django/django,large,809,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/conf/__init__.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14430,django/django,large,809,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,6,5,django/contrib/postgres/aggregates/statistics.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-14580,django/django,large,809,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/migrations/serializer.py
