split,split_role,ticket_id,repo,base_commit,title,outcome,primary_category,primary_category_zh,failure_stage,failure_stage_zh,suggested_next_step,gold_file_count,recovered_gold_count,gold_files,missing_gold_files,index_available,indexed_file_count,sparse_ticket_clues,manual_review_required
validation,method_selection,astropy__astropy-13398,astropy/astropy,6500928dc0e57be8f06d1162eacc3ba5e2eff692,A direct approach to ITRS to Observed transformations that stays within the ITRS.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,4,3,astropy/coordinates/builtin_frames/__init__.py | astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py | astropy/coordinates/builtin_frames/itrs.py | astropy/coordinates/builtin_frames/itrs_observed_transforms.py,astropy/coordinates/builtin_frames/itrs_observed_transforms.py,True,710,False,False
validation,method_selection,astropy__astropy-8715,astropy/astropy,b2b0717108c8b5381f12bc4ab1c759e3705fb8a8,Silence warnings by default when reading in VO Tables,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,7,6,astropy/io/votable/__init__.py | astropy/io/votable/connect.py | astropy/io/votable/converters.py | astropy/io/votable/exceptions.py | astropy/io/votable/table.py | astropy/io/votable/tree.py | astropy/io/votable/validator/result.py,astropy/io/votable/validator/result.py,True,866,False,False
validation,method_selection,astropy__astropy-12842,astropy/astropy,3a0cd2d8cd7b459cdc1e1b97a14f3040ccc1fffc,No longer able to read BinnedTimeSeries with datetime column saved as ECSV after upgrading from 4.2.1 -> 5.0+,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,2,1,astropy/time/core.py | astropy/time/formats.py,astropy/time/formats.py,True,707,False,False
validation,method_selection,astropy__astropy-13132,astropy/astropy,3a0cd2d8cd7b459cdc1e1b97a14f3040ccc1fffc,Add __array_func__ for astropy.time.Time,miss,index_coverage_failure,正確檔案未進入Code Index,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,3,0,astropy/time/core.py | astropy/time/time_helper/__init__.py | astropy/time/time_helper/function_helpers.py,astropy/time/core.py | astropy/time/time_helper/__init__.py | astropy/time/time_helper/function_helpers.py,True,707,False,False
validation,method_selection,astropy__astropy-13438,astropy/astropy,4bd88be61fdf4185b9c198f7e689a40041e392ee,[Security] Jquery 3.1.1 is vulnerable to untrusted code execution,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,astropy/table/jsviewer.py,astropy/table/jsviewer.py,True,710,False,False
validation,method_selection,django__django-11539,django/django,f197c3dd9130b18397022605c27ffe5755f329d7,Move index name checks from Index.__init__ into system checks.,miss,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,2,0,django/db/models/base.py | django/db/models/indexes.py,django/db/models/base.py | django/db/models/indexes.py,True,799,False,True
validation,method_selection,django__django-13841,django/django,cfe47b7686df0c4c87270a83d6d7f933323ed7e6,Access __file__ lazily rather than at module level,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,4,1,django/contrib/auth/password_validation.py | django/forms/renderers.py | django/utils/version.py | django/views/debug.py,django/contrib/auth/password_validation.py | django/forms/renderers.py | django/utils/version.py,True,810,False,True
validation,method_selection,django__django-14387,django/django,3733ae895780f17430924f1e20ee320556c62d05,Incorrect SQL generation filtering OR-combined queries,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,django/utils/tree.py,django/utils/tree.py,True,810,False,False
validation,method_selection,django__django-14681,django/django,6b513f01374da8e8f38e231f0ff95e8c095d3239,CSRF failure incorrectly reported on upload when there is a problem with storage,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,django/middleware/csrf.py,django/middleware/csrf.py,True,810,False,False
validation,method_selection,django__django-10853,django/django,eefc9550fd3b8011cc12069eb700df09f25cc4d9,"SQLite (pre 3.25.0) does not support window functions, raises OperationalError",partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,4,3,django/db/backends/base/features.py | django/db/backends/oracle/features.py | django/db/backends/sqlite3/features.py | django/db/models/expressions.py,django/db/backends/oracle/features.py,True,798,False,False
