ticket_id,repo,title,classification,classification_zh,classification_basis,ticket_program_names,matched_ticket_symbols,matched_symbols,gold_files,evidence_files,matching_gold_files,extra_evidence_files,evidence_count,exact_match_count,leaf_match_count,evidence_details
astropy__astropy-7671,astropy/astropy,minversion failures,correct_mapping,正確對應,所有E3對應檔案都屬於本Ticket的Gold修改檔案。,"[""LooseVersion"", ""Traceback"", ""__ge__"", ""_cmp"", ""astropy.utils"", ""bugs.python"", ""distutils.version"", ""have_version"", ""minversion"", ""notimplemented"", ""other.version"", ""parse_version"", ""pkg_resources"", ""pkg_resources.parse_version"", ""self._cmp"", ""self.version"", ""version_path""]","[""minversion""]","[""minversion""]","[""astropy/utils/introspection.py""]","[""astropy/utils/introspection.py""]","[""astropy/utils/introspection.py""]",[],1,1,0,"[{""ticket_symbol"": ""minversion"", ""matched_symbol"": ""minversion"", ""file_path"": ""astropy/utils/introspection.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}]"
astropy__astropy-13462,astropy/astropy,TST: time/tests/test_precision.py failed in pyinstaller (computed error is different depending on the order of the arguments),correct_mapping,正確對應,所有E3對應檔案都屬於本Ticket的Gold修改檔案。,"[""____________________________"", ""assert_equal"", ""assertionerror"", ""astropy_tests"", ""desired"", ""floats"", ""github.com"", ""given"", ""l313"", ""l315"", ""np.testing"", ""np.testing.assert_equal"", ""pyinstaller"", ""test_precision"", ""test_two_sum_symmetric"", ""tst"", ""two_sum""]","[""two_sum""]","[""two_sum""]","[""astropy/time/utils.py""]","[""astropy/time/utils.py""]","[""astropy/time/utils.py""]",[],1,1,0,"[{""ticket_symbol"": ""two_sum"", ""matched_symbol"": ""two_sum"", ""file_path"": ""astropy/time/utils.py"", ""match_type"": ""exact"", ""candidate_rank"": 3}]"
astropy__astropy-7336,astropy/astropy,units.quantity_input decorator fails for constructors with type hinted return value -> None,incorrect_mapping,錯誤對應,E3對應檔案沒有任何一個屬於本Ticket的Gold修改檔案。,"[""PoC"", ""Traceback"", ""__init__"", ""astropy.units"", ""attributeerror"", ""constructor"", ""make_function_with_signature"", ""nonetype"", ""quantity_input"", ""return_annotation"", ""u.quantity_input"", ""units.quantity_input"", ""wrapped_args"", ""wrapped_signature"", ""wrapped_signature.return_annotation""]","[""constructor""]","[""constructor""]","[""astropy/units/decorators.py""]","[""astropy/io/misc/yaml.py""]",[],"[""astropy/io/misc/yaml.py""]",1,1,0,"[{""ticket_symbol"": ""constructor"", ""matched_symbol"": ""constructor"", ""file_path"": ""astropy/io/misc/yaml.py"", ""match_type"": ""exact"", ""candidate_rank"": 16}]"
astropy__astropy-14995,astropy/astropy,"In v5.3, NDDataRef mask propagation fails when one of the operand does not have a mask",overly_ambiguous,名稱過度模糊,E3有找到Gold修改檔案，但同時把名稱對應到其他檔案。,"[""NDDataRef"", ""array"", ""astropy.__version__"", ""astropy.nddata"", ""bitwise_or"", ""constant"", ""erfa.__version__"", ""handle_mask"", ""itself"", ""mask"", ""nonetype"", ""np.array"", ""np.bitwise_or"", ""nref_mask"", ""nref_mask.multiply"", ""nref_nomask"", ""nref_nomask.multiply"", ""numpy.__version__"", ""sys.version"", ""type""]","[""NDDataRef"", ""astropy.nddata"", ""constant"", ""nref_mask.multiply"", ""nref_nomask.multiply""]","[""Constant"", ""Multiply"", ""NDArithmeticMixin.multiply"", ""NDData"", ""NDDataRef""]","[""astropy/nddata/mixins/ndarithmetic.py""]","[""astropy/nddata/mixins/ndarithmetic.py"", ""astropy/nddata/nddata_withmixins.py"", ""astropy/nddata/nddata.py"", ""astropy/constants/constant.py"", ""astropy/modeling/functional_models.py""]","[""astropy/nddata/mixins/ndarithmetic.py""]","[""astropy/constants/constant.py"", ""astropy/modeling/functional_models.py"", ""astropy/nddata/nddata.py"", ""astropy/nddata/nddata_withmixins.py""]",7,2,5,"[{""ticket_symbol"": ""nref_nomask.multiply"", ""matched_symbol"": ""NDArithmeticMixin.multiply"", ""file_path"": ""astropy/nddata/mixins/ndarithmetic.py"", ""match_type"": ""leaf"", ""candidate_rank"": 1}, {""ticket_symbol"": ""nref_mask.multiply"", ""matched_symbol"": ""NDArithmeticMixin.multiply"", ""file_path"": ""astropy/nddata/mixins/ndarithmetic.py"", ""match_type"": ""leaf"", ""candidate_rank"": 1}, {""ticket_symbol"": ""NDDataRef"", ""matched_symbol"": ""NDDataRef"", ""file_path"": ""astropy/nddata/nddata_withmixins.py"", ""match_type"": ""exact"", ""candidate_rank"": 2}, {""ticket_symbol"": ""astropy.nddata"", ""matched_symbol"": ""NDData"", ""file_path"": ""astropy/nddata/nddata.py"", ""match_type"": ""leaf"", ""candidate_rank"": 3}, {""ticket_symbol"": ""constant"", ""matched_symbol"": ""Constant"", ""file_path"": ""astropy/constants/constant.py"", ""match_type"": ""exact"", ""candidate_rank"": 7}, {""ticket_symbol"": ""nref_nomask.multiply"", ""matched_symbol"": ""Multiply"", ""file_path"": ""astropy/modeling/functional_models.py"", ""match_type"": ""leaf"", ""candidate_rank"": 20}, {""ticket_symbol"": ""nref_mask.multiply"", ""matched_symbol"": ""Multiply"", ""file_path"": ""astropy/modeling/functional_models.py"", ""match_type"": ""leaf"", ""candidate_rank"": 20}]"
astropy__astropy-8747,astropy/astropy,Support new clip ufunc,overly_ambiguous,名稱過度模糊,E3有找到Gold修改檔案，但同時把名稱對應到其他檔案。,"[""Quantity"", ""np.clip"", ""ufunc""]","[""Quantity""]","[""BaseColumn.quantity"", ""NDUncertainty.quantity"", ""Parameter.quantity"", ""Quantity""]","[""astropy/units/function/core.py"", ""astropy/units/quantity.py"", ""astropy/units/quantity_helper/converters.py"", ""astropy/units/quantity_helper/helpers.py"", ""astropy/utils/compat/numpycompat.py""]","[""astropy/units/quantity.py"", ""astropy/modeling/parameters.py"", ""astropy/table/column.py"", ""astropy/nddata/nduncertainty.py""]","[""astropy/units/quantity.py""]","[""astropy/modeling/parameters.py"", ""astropy/nddata/nduncertainty.py"", ""astropy/table/column.py""]",4,1,3,"[{""ticket_symbol"": ""Quantity"", ""matched_symbol"": ""Quantity"", ""file_path"": ""astropy/units/quantity.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}, {""ticket_symbol"": ""Quantity"", ""matched_symbol"": ""Parameter.quantity"", ""file_path"": ""astropy/modeling/parameters.py"", ""match_type"": ""leaf"", ""candidate_rank"": 10}, {""ticket_symbol"": ""Quantity"", ""matched_symbol"": ""BaseColumn.quantity"", ""file_path"": ""astropy/table/column.py"", ""match_type"": ""leaf"", ""candidate_rank"": 16}, {""ticket_symbol"": ""Quantity"", ""matched_symbol"": ""NDUncertainty.quantity"", ""file_path"": ""astropy/nddata/nduncertainty.py"", ""match_type"": ""leaf"", ""candidate_rank"": 20}]"
astropy__astropy-12962,astropy/astropy,Convert CCDData to ImageHDU,overly_ambiguous,名稱過度模糊,E3有找到Gold修改檔案，但同時把名稱對應到其他檔案。,"[""BinTableHDU"", ""CCDData"", ""CCDData.data"", ""CCDData.read"", ""CCDData.to_hdu"", ""CCDData.write"", ""HDUList"", ""ImageHDU"", ""PrimaryHDU"", ""Table"", ""around"", ""ccd_image"", ""ccd_image.to_hdu"", ""fits.HDUList"", ""fits.Header"", ""fits.ImageHDU"", ""fits.PrimaryHDU"", ""fits.ccddata_to_image_hdu"", ""hdu"", ""np.ones""]","[""CCDData"", ""CCDData.data"", ""CCDData.to_hdu"", ""HDUList"", ""ImageHDU"", ""PrimaryHDU"", ""ccd_image.to_hdu"", ""fits.HDUList"", ""fits.ImageHDU"", ""fits.PrimaryHDU""]","[""CCDData"", ""CCDData.data"", ""CCDData.to_hdu"", ""FitsHDU.hdulist"", ""HDUList"", ""ImageHDU"", ""PrimaryHDU""]","[""astropy/nddata/ccddata.py""]","[""astropy/nddata/ccddata.py"", ""astropy/io/fits/hdu/hdulist.py"", ""astropy/io/fits/hdu/image.py"", ""astropy/io/fits/hdu/nonstandard.py""]","[""astropy/nddata/ccddata.py""]","[""astropy/io/fits/hdu/hdulist.py"", ""astropy/io/fits/hdu/image.py"", ""astropy/io/fits/hdu/nonstandard.py""]",12,6,6,"[{""ticket_symbol"": ""CCDData.to_hdu"", ""matched_symbol"": ""CCDData.to_hdu"", ""file_path"": ""astropy/nddata/ccddata.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}, {""ticket_symbol"": ""CCDData.data"", ""matched_symbol"": ""CCDData.data"", ""file_path"": ""astropy/nddata/ccddata.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}, {""ticket_symbol"": ""CCDData"", ""matched_symbol"": ""CCDData"", ""file_path"": ""astropy/nddata/ccddata.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}, {""ticket_symbol"": ""ccd_image.to_hdu"", ""matched_symbol"": ""CCDData.to_hdu"", ""file_path"": ""astropy/nddata/ccddata.py"", ""match_type"": ""leaf"", ""candidate_rank"": 1}, {""ticket_symbol"": ""HDUList"", ""matched_symbol"": ""HDUList"", ""file_path"": ""astropy/io/fits/hdu/hdulist.py"", ""match_type"": ""exact"", ""candidate_rank"": 2}, {""ticket_symbol"": ""fits.HDUList"", ""matched_symbol"": ""HDUList"", ""file_path"": ""astropy/io/fits/hdu/hdulist.py"", ""match_type"": ""leaf"", ""candidate_rank"": 2}, {""ticket_symbol"": ""PrimaryHDU"", ""matched_symbol"": ""PrimaryHDU"", ""file_path"": ""astropy/io/fits/hdu/image.py"", ""match_type"": ""exact"", ""candidate_rank"": 3}, {""ticket_symbol"": ""ImageHDU"", ""matched_symbol"": ""ImageHDU"", ""file_path"": ""astropy/io/fits/hdu/image.py"", ""match_type"": ""exact"", ""candidate_rank"": 3}, {""ticket_symbol"": ""fits.PrimaryHDU"", ""matched_symbol"": ""PrimaryHDU"", ""file_path"": ""astropy/io/fits/hdu/image.py"", ""match_type"": ""leaf"", ""candidate_rank"": 3}, {""ticket_symbol"": ""fits.ImageHDU"", ""matched_symbol"": ""ImageHDU"", ""file_path"": ""astropy/io/fits/hdu/image.py"", ""match_type"": ""leaf"", ""candidate_rank"": 3}, {""ticket_symbol"": ""fits.HDUList"", ""matched_symbol"": ""FitsHDU.hdulist"", ""file_path"": ""astropy/io/fits/hdu/nonstandard.py"", ""match_type"": ""leaf"", ""candidate_rank"": 4}, {""ticket_symbol"": ""HDUList"", ""matched_symbol"": ""FitsHDU.hdulist"", ""file_path"": ""astropy/io/fits/hdu/nonstandard.py"", ""match_type"": ""leaf"", ""candidate_rank"": 4}]"
astropy__astropy-14365,astropy/astropy,ascii.qdp Table format assumes QDP commands are upper case,overly_ambiguous,名稱過度模糊,E3有找到Gold修改檔案，但同時把名稱對應到其他檔案。,"[""Table"", ""Table.read"", ""Traceback"", ""ValueError"", ""ascii.qdp"", ""astropy.table"", ""eof"", ""qdp"", ""read"", ""serr"", ""table_id"", ""test.qdp"", ""warning""]","[""qdp"", ""warning""]","[""PlyLogger.warning"", ""QDP""]","[""astropy/io/ascii/qdp.py""]","[""astropy/io/ascii/qdp.py"", ""astropy/extern/ply/yacc.py""]","[""astropy/io/ascii/qdp.py""]","[""astropy/extern/ply/yacc.py""]",2,1,1,"[{""ticket_symbol"": ""qdp"", ""matched_symbol"": ""QDP"", ""file_path"": ""astropy/io/ascii/qdp.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}, {""ticket_symbol"": ""warning"", ""matched_symbol"": ""PlyLogger.warning"", ""file_path"": ""astropy/extern/ply/yacc.py"", ""match_type"": ""leaf"", ""candidate_rank"": 5}]"
astropy__astropy-14598,astropy/astropy,Inconsistency in double single-quote ('') management in FITS Card,overly_ambiguous,名稱過度模糊,E3有找到Gold修改檔案，但同時把名稱對應到其他檔案。,"[""config"", ""fits"", ""fits.Card"", ""fits.Card.fromstring"", ""gcc"", ""quote"", ""quotes"", ""range"", ""x86_64""]","[""fits"", ""fits.Card.fromstring""]","[""Card.fromstring"", ""Fits"", ""HDUList.fromstring"", ""Header.fromstring"", ""_BaseHDU.fromstring""]","[""astropy/io/fits/card.py""]","[""astropy/io/fits/header.py"", ""astropy/io/fits/hdu/base.py"", ""astropy/io/fits/hdu/hdulist.py"", ""astropy/io/fits/card.py"", ""astropy/units/format/fits.py""]","[""astropy/io/fits/card.py""]","[""astropy/io/fits/hdu/base.py"", ""astropy/io/fits/hdu/hdulist.py"", ""astropy/io/fits/header.py"", ""astropy/units/format/fits.py""]",5,1,4,"[{""ticket_symbol"": ""fits.Card.fromstring"", ""matched_symbol"": ""Header.fromstring"", ""file_path"": ""astropy/io/fits/header.py"", ""match_type"": ""leaf"", ""candidate_rank"": 1}, {""ticket_symbol"": ""fits.Card.fromstring"", ""matched_symbol"": ""_BaseHDU.fromstring"", ""file_path"": ""astropy/io/fits/hdu/base.py"", ""match_type"": ""leaf"", ""candidate_rank"": 2}, {""ticket_symbol"": ""fits.Card.fromstring"", ""matched_symbol"": ""HDUList.fromstring"", ""file_path"": ""astropy/io/fits/hdu/hdulist.py"", ""match_type"": ""leaf"", ""candidate_rank"": 3}, {""ticket_symbol"": ""fits.Card.fromstring"", ""matched_symbol"": ""Card.fromstring"", ""file_path"": ""astropy/io/fits/card.py"", ""match_type"": ""leaf"", ""candidate_rank"": 4}, {""ticket_symbol"": ""fits"", ""matched_symbol"": ""Fits"", ""file_path"": ""astropy/units/format/fits.py"", ""match_type"": ""exact"", ""candidate_rank"": 17}]"
astropy__astropy-14182,astropy/astropy,Please support header rows in RestructuredText output,overly_ambiguous,名稱過度模糊,E3有找到Gold修改檔案，但同時把名稱對應到其他檔案。,"[""QTable"", ""RST.__init__"", ""Traceback"", ""astropy.table"", ""astropy.units"", ""core._get_writer"", ""fast_writer"", ""fixed_width"", ""get_writer"", ""header_rows"", ""io_write"", ""restructuredtext"", ""rst"", ""self.registry.write"", ""sys.stdout"", ""tbl.write"", ""u.count"", ""write"", ""writer"", ""writer_kwargs""]","[""RST.__init__"", ""core._get_writer"", ""get_writer"", ""io_write"", ""rst""]","[""RST"", ""RST.__init__"", ""UnifiedOutputRegistry.get_writer"", ""_get_writer"", ""get_writer"", ""io_write""]","[""astropy/io/ascii/rst.py""]","[""astropy/io/ascii/connect.py"", ""astropy/io/ascii/ui.py"", ""astropy/io/ascii/core.py"", ""astropy/io/registry/core.py"", ""astropy/io/ascii/rst.py""]","[""astropy/io/ascii/rst.py""]","[""astropy/io/ascii/connect.py"", ""astropy/io/ascii/core.py"", ""astropy/io/ascii/ui.py"", ""astropy/io/registry/core.py""]",6,5,1,"[{""ticket_symbol"": ""io_write"", ""matched_symbol"": ""io_write"", ""file_path"": ""astropy/io/ascii/connect.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}, {""ticket_symbol"": ""get_writer"", ""matched_symbol"": ""get_writer"", ""file_path"": ""astropy/io/ascii/ui.py"", ""match_type"": ""exact"", ""candidate_rank"": 3}, {""ticket_symbol"": ""core._get_writer"", ""matched_symbol"": ""_get_writer"", ""file_path"": ""astropy/io/ascii/core.py"", ""match_type"": ""exact"", ""candidate_rank"": 4}, {""ticket_symbol"": ""get_writer"", ""matched_symbol"": ""UnifiedOutputRegistry.get_writer"", ""file_path"": ""astropy/io/registry/core.py"", ""match_type"": ""leaf"", ""candidate_rank"": 6}, {""ticket_symbol"": ""RST.__init__"", ""matched_symbol"": ""RST.__init__"", ""file_path"": ""astropy/io/ascii/rst.py"", ""match_type"": ""exact"", ""candidate_rank"": 7}, {""ticket_symbol"": ""rst"", ""matched_symbol"": ""RST"", ""file_path"": ""astropy/io/ascii/rst.py"", ""match_type"": ""exact"", ""candidate_rank"": 7}]"
astropy__astropy-14253,astropy/astropy,When should `info` be linked to a new object?,overly_ambiguous,名稱過度模糊,E3有找到Gold修改檔案，但同時把名稱對應到其他檔案。,"[""Quantity"", ""Quantity._new_view"", ""__array_finalize__"", ""copies"", ""info"", ""info.name"", ""q.copy"", ""q.decompose"", ""q.insert"", ""q.squeeze"", ""views""]","[""Quantity._new_view"", ""info"", ""info.name""]","[""Info"", ""Info.name"", ""Quantity._new_view"", ""info""]","[""astropy/units/quantity.py""]","[""astropy/units/quantity.py"", ""astropy/io/votable/tree.py"", ""astropy/io/fits/convenience.py""]","[""astropy/units/quantity.py""]","[""astropy/io/fits/convenience.py"", ""astropy/io/votable/tree.py""]",4,4,0,"[{""ticket_symbol"": ""Quantity._new_view"", ""matched_symbol"": ""Quantity._new_view"", ""file_path"": ""astropy/units/quantity.py"", ""match_type"": ""exact"", ""candidate_rank"": 1}, {""ticket_symbol"": ""info.name"", ""matched_symbol"": ""Info.name"", ""file_path"": ""astropy/io/votable/tree.py"", ""match_type"": ""exact"", ""candidate_rank"": 2}, {""ticket_symbol"": ""info"", ""matched_symbol"": ""Info"", ""file_path"": ""astropy/io/votable/tree.py"", ""match_type"": ""exact"", ""candidate_rank"": 2}, {""ticket_symbol"": ""info"", ""matched_symbol"": ""info"", ""file_path"": ""astropy/io/fits/convenience.py"", ""match_type"": ""exact"", ""candidate_rank"": 15}]"
