split,split_role,ticket_id,repo,base_commit,title,outcome,primary_category,primary_category_zh,failure_stage,failure_stage_zh,suggested_next_step,gold_file_count,recovered_gold_count,gold_files,missing_gold_files,index_available,indexed_file_count,sparse_ticket_clues,manual_review_required
development,development_only,astropy__astropy-8747,astropy/astropy,2d99bedef58144e321ec62667eea495d4391ee58,Support new clip ufunc,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,5,4,astropy/units/function/core.py | astropy/units/quantity.py | astropy/units/quantity_helper/converters.py | astropy/units/quantity_helper/helpers.py | astropy/utils/compat/numpycompat.py,astropy/utils/compat/numpycompat.py,True,867,False,False
development,development_only,astropy__astropy-14701,astropy/astropy,a429c3984a14c995584455e51a6f3d7d9c16e914,Register ``latex`` to ``Cosmology.write``,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,2,1,astropy/cosmology/io/__init__.py | astropy/cosmology/io/latex.py,astropy/cosmology/io/latex.py,True,613,False,False
development,development_only,astropy__astropy-7008,astropy/astropy,264d967708a3dcdb2bce0ed9f9ca3391c40f3ff3,Context manager for constant versions,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,4,3,astropy/constants/__init__.py | astropy/constants/astropyconst13.py | astropy/constants/astropyconst20.py | astropy/constants/utils.py,astropy/constants/utils.py,True,848,False,False
development,development_only,astropy__astropy-13933,astropy/astropy,5aa2d0beca53988e054d496c6dcfa2199a405fb8,Unpickled Angle.to_string fails,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,2,1,astropy/coordinates/angles.py | astropy/visualization/wcsaxes/formatter_locator.py,astropy/visualization/wcsaxes/formatter_locator.py,True,712,False,False
development,development_only,astropy__astropy-14413,astropy/astropy,34d79ea59b3ba25820dfe7fc9782e9014826e8b0,Unicode and console unit representations sometimes include an extraneous space,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,3,2,astropy/units/format/console.py | astropy/units/format/latex.py | astropy/units/format/unicode_format.py,astropy/units/format/latex.py,True,638,False,False
development,development_only,astropy__astropy-12891,astropy/astropy,691ceab8aea8f7c37ee89b1b806801239bb2dc69,The `where` keyword argument of `np.mean` is not supported for `astropy.units.Quantity` instances.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,2,1,astropy/units/quantity.py | astropy/utils/masked/core.py,astropy/utils/masked/core.py,True,707,False,False
development,development_only,django__django-13884,django/django,fdfbc66331292def201c9344e3cd29fbcbcd076a,"i18n.set_language unquotes next_url and produces wrong url for url params containing ""&"" character",partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,2,1,django/urls/base.py | django/views/i18n.py,django/urls/base.py,True,808,False,False
development,development_only,django__django-13495,django/django,b26ec77deb7c5052163ef8514ec7db70c0a5ea2a,Trunc() function take tzinfo param into account only when DateTimeField() are used as output_field,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,7,4,django/db/backends/base/operations.py | django/db/backends/mysql/operations.py | django/db/backends/oracle/operations.py | django/db/backends/postgresql/operations.py | django/db/backends/sqlite3/base.py | django/db/backends/sqlite3/operations.py | django/db/models/functions/datetime.py,django/db/backends/base/operations.py | django/db/backends/sqlite3/base.py | django/db/backends/sqlite3/operations.py,True,806,False,False
development,development_only,django__django-13512,django/django,b79088306513d5ed76d31ac40ab3c15f858946ea,Admin doesn't display properly unicode chars in JSONFields.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,2,1,django/contrib/admin/utils.py | django/forms/fields.py,django/contrib/admin/utils.py,True,806,False,False
development,development_only,django__django-11062,django/django,cbf7e71558c94ce1c327b683768a18a25d82d197,Using an annotated field calculated with django.db.models.functions.Extract in aggregate results in ProgrammingError,miss,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,1,0,django/db/models/sql/query.py,django/db/models/sql/query.py,True,798,False,False
development,development_only,django__django-13354,django/django,225261b70136fa90e63b6cf4ea10341e793d7341,MigrationOptimizer mangles operation order if app name contains uppercase letters.,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,django/db/migrations/operations/utils.py,django/db/migrations/operations/utils.py,True,806,False,False
development,development_only,django__django-15388,django/django,c5cd8783825b5f6384417dac5f3889b4210b7d08,Dev Server fails to restart after adding BASE_DIR to TEMPLATES[0]['DIRS'] in settings,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,django/template/autoreload.py,django/template/autoreload.py,True,813,False,False
development,development_only,django__django-14894,django/django,9466fd78420a851460c92673dad50a5737c75b12,Incorrect annotation value when doing a subquery with empty queryset,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,6,5,django/contrib/postgres/aggregates/statistics.py | django/db/models/aggregates.py | django/db/models/expressions.py | django/db/models/functions/comparison.py | django/db/models/sql/compiler.py | django/db/models/sql/query.py,django/contrib/postgres/aggregates/statistics.py,True,811,False,False
development,development_only,django__django-15401,django/django,11cc227344de06ffd0ad7f07c4e4bdd18851adac,Deprecate passing unsaved objects to related filters.,miss,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,1,0,django/db/models/fields/related_lookups.py,django/db/models/fields/related_lookups.py,True,814,False,False
development,development_only,django__django-11630,django/django,65e86948b80262574058a94ccaae3a9b59c3faea,Django throws error when different apps with different models have the same name table name.,miss,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,1,0,django/core/checks/model_checks.py,django/core/checks/model_checks.py,True,812,False,False
development,development_only,django__django-12771,django/django,0f2885e3f6e0c73c9f455dcbc0326ac11ba4b84c,Store ModeState.fields into a dict.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,5,3,django/db/migrations/autodetector.py | django/db/migrations/operations/fields.py | django/db/migrations/operations/models.py | django/db/migrations/operations/utils.py | django/db/migrations/state.py,django/db/migrations/autodetector.py | django/db/migrations/operations/utils.py,True,813,False,True
development,development_only,django__django-16032,django/django,0c3981eb5094419fe200eb46c71b5376a2266166,__in doesn't clear selected fields on the RHS when QuerySet.alias() is used after annotate().,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,2,1,django/db/models/fields/related_lookups.py | django/db/models/sql/query.py,django/db/models/fields/related_lookups.py,True,817,False,False
development,development_only,django__django-14399,django/django,958cdf65ae90d26236d1815bbba804729595ec7a,Documentation: hypercorn and static files,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,django/conf/__init__.py,django/conf/__init__.py,True,810,False,False
development,development_only,django__django-14313,django/django,d68be0494be8b82365f2a5410c9335e539d8efd6,Deleting objects after searching related many to many field crashes the admin page,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,3,1,django/contrib/admin/options.py | django/contrib/admin/views/main.py | django/db/models/sql/compiler.py,django/contrib/admin/views/main.py | django/db/models/sql/compiler.py,True,810,False,False
