evidence_id,ticket_id,repo,title,classification,classification_zh,review_reason,gold_files,candidate_file,candidate_rank,call_graph_bonus,reference_file,reference_rank,caller_symbol,target_file,target_symbol,call_name,line,resolution_type,target_is_gold,reference_is_gold
e4cg-2183788c1ed6,astropy__astropy-7166,astropy/astropy,InheritDocstrings metaclass doesn't work for properties,irrelevant_mapping,完全無關,Ticket處理InheritDocstrings屬性文件；設定檔讀取ConfigObj與此錯誤流程無關。,astropy/utils/misc.py,astropy/extern/configobj/configobj.py,7,0.0547,astropy/config/configuration.py,4,get_config,astropy/extern/configobj/configobj.py,ConfigObj,configobj.ConfigObj,521,module_function,False,False
e4cg-6fe148a2bdd2,astropy__astropy-14966,astropy/astropy,QTable: Group keys don't have a unit,irrelevant_mapping,完全無關,Ticket重點是QTable分組鍵遺失單位；Table.mask到FalseArray的遮罩流程與分組鍵無關。,astropy/table/groups.py,astropy/table/column.py,1,0.072,astropy/table/table.py,1,Table.mask,astropy/table/column.py,FalseArray,FalseArray,946,imported_function,False,False
e4cg-bea83d88abb1,astropy__astropy-14966,astropy/astropy,QTable: Group keys don't have a unit,irrelevant_mapping,完全無關,Table.iloc與TableILoc屬於索引存取，不是QTable group keys保留單位的處理流程。,astropy/table/groups.py,astropy/table/index.py,15,0.072,astropy/table/table.py,1,Table.iloc,astropy/table/index.py,TableILoc,TableILoc,1040,imported_function,False,False
e4cg-82bf78ef421b,astropy__astropy-8292,astropy/astropy,Problem with the `littleh` part of unit equivalencies?,relationship_correct_not_modified,功能相關但非本次修改位置,Quantity.to_value與單位轉換會使用is_effectively_unity，和littleh等價換算相關，但本次修改在equivalencies.py。,astropy/units/equivalencies.py,astropy/units/utils.py,5,0.0662,astropy/units/quantity.py,2,Quantity.to_value,astropy/units/utils.py,is_effectively_unity,is_effectively_unity,715,imported_function,False,False
e4cg-540e163302e6,astropy__astropy-8292,astropy/astropy,Problem with the `littleh` part of unit equivalencies?,relationship_correct_not_modified,功能相關但非本次修改位置,UnitBase相等判斷與單位換算相關，is_effectively_unity也是有效底層工具，但不是本次修改位置。,astropy/units/equivalencies.py,astropy/units/utils.py,5,0.0662,astropy/units/core.py,4,UnitBase.__eq__,astropy/units/utils.py,is_effectively_unity,is_effectively_unity,757,imported_function,False,False
e4cg-64a22b0b8468,astropy__astropy-13398,astropy/astropy,A direct approach to ITRS to Observed transformations that stays within the ITRS.,relationship_correct_not_modified,功能相關但非本次修改位置,EarthLocation座標位置與矩陣轉置都屬ITRS轉換流程，但新增的直接轉換實作位於其他Gold檔案。,astropy/coordinates/builtin_frames/__init__.py | astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py | astropy/coordinates/builtin_frames/itrs.py | astropy/coordinates/builtin_frames/itrs_observed_transforms.py,astropy/coordinates/matrix_utilities.py,3,0.0605,astropy/coordinates/earth.py,3,EarthLocation._get_gcrs_posvel,astropy/coordinates/matrix_utilities.py,matrix_transpose,matrix_transpose,699,imported_function,False,False
e4cg-f827b6b3e09d,astropy__astropy-13731,astropy/astropy,`Time` parses fractional days in year-month-day format incorrectly,relationship_correct_not_modified,功能相關但非本次修改位置,Time.strptime呼叫_strptime是日期字串解析的有效路徑，但分數日解析錯誤的修改點在time/formats.py。,astropy/time/formats.py,astropy/extern/_strptime.py,3,0.0662,astropy/time/core.py,2,Time.strptime,astropy/extern/_strptime.py,_strptime,_strptime._strptime,1690,module_function,False,False
e4cg-951e4bf04f23,astropy__astropy-13731,astropy/astropy,`Time` parses fractional days in year-month-day format incorrectly,irrelevant_mapping,完全無關,座標小時角範圍警告與Time日期字串的分數日解析問題無關。,astropy/time/formats.py,astropy/coordinates/errors.py,6,0.0547,astropy/coordinates/angle_formats.py,4,_check_hour_range,astropy/coordinates/errors.py,IllegalHourWarning,IllegalHourWarning,323,imported_function,False,False
e4cg-5d1d37a76d57,astropy__astropy-14508,astropy/astropy,`io.fits.Card` may use a string representation of floats that is larger than necessary,irrelevant_mapping,完全無關,FITS便利函式info開啟HDUList是通用I/O流程，與Card浮點數字串格式化問題無關。,astropy/io/fits/card.py,astropy/io/fits/hdu/hdulist.py,3,0.0605,astropy/io/fits/convenience.py,3,info,astropy/io/fits/hdu/hdulist.py,fitsopen,fitsopen,822,imported_function,False,False
e4cg-60cb03ca6f13,astropy__astropy-14508,astropy/astropy,`io.fits.Card` may use a string representation of floats that is larger than necessary,relationship_correct_not_modified,功能相關但非本次修改位置,Header會包含Card，_makehdu建立Header與FITS標頭功能相關，但浮點格式化修正在card.py。,astropy/io/fits/card.py,astropy/io/fits/header.py,9,0.0605,astropy/io/fits/convenience.py,3,_makehdu,astropy/io/fits/header.py,Header,Header,1120,imported_function,False,False
