sample_index,audit_seed,audit_strata,gold_id,ticket_id,repo,base_commit,file_path,mapping_status,mapping_method,mapping_confidence,exclusion_reason,symbol_id,qualified_name,symbol_kind,start_line,start_column,end_line,end_column,change_type,hunk_index,old_file_path,new_file_path,old_start_line,old_line_count,new_start_line,new_line_count,matched_old_lines,context_old_lines,insertion_anchor_line,patch_sha256,review_status,file_correct,qualified_name_correct,symbol_kind_correct,review_note
1,20260902,deletion multi_file_ticket nested_symbol,sha256:1e78d6995fdea9863401f2ef824b175f6a1cb0068c2259f4a6ce21fe381f08be,pallets__flask-4642,pallets/flask,97298e06fe19298c3ff9d2e0ed9ba70bb3fda2c8,src/flask/app.py,mapped,modified_line_containment,1.0,,sha256:6572869dbd161934f6390480be19d2a4db68f816dfe946213125286e04ce1d6d,Flask.run,method,846,4,966,43,modified,2,src/flask/app.py,src/flask/app.py,908,12,910,18,911 912 914 916,908 909 910 913 915 917 918 919,913,sha256:591ac4027fe23bdc3cd5752c7476a08b5c333cf084b21c247db928265ba2c63d,approved,true,true,true,Verified patch lines 911-916 inside Flask.run.
2,20260902,module_level multi_file_ticket,sha256:ece0c8b6da1ee2d948bd51b42427242e2cedd3c05f02ded722c112efb4425450,pallets__flask-4642,pallets/flask,97298e06fe19298c3ff9d2e0ed9ba70bb3fda2c8,src/flask/cli.py,mapped,module_level,0.8,,sha256:d58ff710ec7380e93cdac5599090410721ce570fbf9a9b5c512d094bc4c87166,<module>,module,965,0,965,0,modified,6,src/flask/cli.py,src/flask/cli.py,963,6,967,7,,963 964 965 966 967 968,965,sha256:591ac4027fe23bdc3cd5752c7476a08b5c333cf084b21c247db928265ba2c63d,approved,true,true,true,Verified module-level FlaskGroup construction in src/flask/cli.py.
3,20260902,deletion multi_file_ticket nested_symbol,sha256:89925fbbed6f4a41fa29933a7a5d1e6341f15f4573a147e864706bde88e730a8,pydata__xarray-4184,pydata/xarray,65ca92a5c0a4143d00dd7a822bcb1d49738717f1,xarray/core/dataset.py,mapped,modified_line_containment,1.0,,sha256:48ed4b2342ab37575edb172d11c385f094c5e7885b1c93c178089f2c54b921cc,Dataset._set_sparse_data_from_dataframe,method,4545,4,4580,37,modified,1,xarray/core/dataset.py,xarray/core/dataset.py,4557,11,4556,7,4560 4561 4562 4563 4564,4557 4558 4559 4565 4566 4567,4565,sha256:5d2925997f560d21b34fc9454d7315d1022b08a0fe4ca77cbe870a403a43ec2b,approved,true,true,true,Verified changed lines 4560-4564 inside Dataset._set_sparse_data_from_dataframe.
4,20260902,module_level,sha256:8f153cc4412474c19104130f51fc173b00cc74da92e944053b7fd97fbed3f26f,pallets__flask-5063,pallets/flask,182ce3dd15dfa3537391c3efaf9c3ff407d134d4,src/flask/cli.py,mapped,module_level,1.0,,sha256:6b947fe996b973fb462fe4713f4e90f5988becab2bf51b83bace7e3a458b8a54,<module>,module,12,0,12,0,modified,0,src/flask/cli.py,src/flask/cli.py,9,7,9,7,12,9 10 11 13 14 15,13,sha256:f9c1ef426acac91e34d551f80f34dfe27fc124ac316af71d70eec1764b4a6497,approved,true,true,true,Verified changed import at module scope in src/flask/cli.py.
5,20260902,module_level multi_file_ticket,sha256:53e8b716cf6e3e1a3c7e54b6bd4925fb74c036bb750bb29fb44b19ad0db3a8cf,sympy__sympy-13903,sympy/sympy,99fdff6c86b73018148f9c22f680d6874b0f4f2c,sympy/printing/fcode.py,mapped,module_level,1.0,,sha256:8eec3fdfa7fcd6aa51b3c75ec6e9dbafc2d16a780b19ab0d181b2dd9c9e3908e,<module>,module,53,0,53,0,modified,0,sympy/printing/fcode.py,sympy/printing/fcode.py,50,7,50,9,53,50 51 52 54 55 56,54,sha256:8c22e45923a04a4e40f8407ca3f57f8843cb92634e3a58f0be4ef9e10afcf28a,approved,true,true,true,Verified known_functions dictionary change at module scope.
6,20260902,deletion,sha256:d130364525aeb82927103915cc6a5392b23c3b707e97472a8ff617927b16c8ee,scikit-learn__scikit-learn-13087,scikit-learn/scikit-learn,a73260db9c0b63d582ef4a7f3c696b68058c1c43,sklearn/calibration.py,mapped,modified_line_containment,1.0,,sha256:67205e5efab55696106ac11d0c7639bc3d753183b66868689fde68cde49c05b5,calibration_curve,function,522,0,586,31,modified,2,sklearn/calibration.py,sklearn/calibration.py,572,7,581,16,575,572 573 574 576 577 578,576,sha256:9667f5018660566ced3e586505e69efe7ac679cb5440bd156093ce955fa9432a,approved,true,true,true,Verified changed bin strategy lines inside calibration_curve.
7,20260902,deletion nested_symbol,sha256:66e27b0a3719ad8d50223b04e51a664457405caaaa3aa8124afdd1b6651490e9,mwaskom__seaborn-2389,mwaskom/seaborn,bcdac5411a1b71ff8d4a2fd12a937c129513e79e,seaborn/matrix.py,mapped,modified_line_containment,1.0,,sha256:4f878a05d55c1aecc685c708397bcb1150d1909dba9d6db544f98a3d699d386f,_HeatMapper.__init__,method,99,4,192,67,modified,2,seaborn/matrix.py,seaborn/matrix.py,132,9,125,6,135 136 137,132 133 134 138 139 140,,sha256:8c963cd941894c696827496053b08c1a4ab573feab13352bb16088a683c91fb4,approved,true,true,true,Verified against patch hunk base source and independent AST.
8,20260902,deletion multi_file_ticket nested_symbol,sha256:6da46f14dbb65ae65c2b45f7cb11151daf37a089c11bc50058d112665413f732,pydata__xarray-4184,pydata/xarray,65ca92a5c0a4143d00dd7a822bcb1d49738717f1,xarray/core/dataset.py,mapped,modified_line_containment,1.0,,sha256:48ed4b2342ab37575edb172d11c385f094c5e7885b1c93c178089f2c54b921cc,Dataset._set_sparse_data_from_dataframe,method,4545,4,4580,37,modified,0,xarray/core/dataset.py,xarray/core/dataset.py,4543,11,4543,10,4546 4550,4543 4544 4545 4547 4548 4549 4551 4552 4553,4547,sha256:5d2925997f560d21b34fc9454d7315d1022b08a0fe4ca77cbe870a403a43ec2b,approved,true,true,true,Verified against patch hunk base source and independent AST.
9,20260902,module_level multi_file_ticket,sha256:0bd3fd30c632df2cfbe08cc41b09bfde8977c62b9575fd5bdffdc652e0d6fb05,django__django-15139,django/django,08d8bccbf1b0764a0de68325569ee47da256e206,django/contrib/sessions/serializers.py,mapped,module_level,0.8,,sha256:853c2a931669748cd49d4c3018c8ce18e69dee3f47c86caef52e19d4fd703e5b,<module>,module,1,0,1,0,modified,0,django/contrib/sessions/serializers.py,django/contrib/sessions/serializers.py,1,3,1,4,,1 2 3,1,sha256:eda6a963b0a542eca714643ceb6c713353670377c9a5faa7e53e1de0e4619aad,approved,true,true,true,Verified against patch hunk base source and independent AST.
10,20260902,pure_addition,sha256:baf7f17d42f5048feca5ab433feb51cd8d9e82b0cd456063dd025c1c4efdf1a8,psf__requests-1768,psf/requests,847735553aeda6e6633f2b32e14ba14ba86887a4,requests/utils.py,mapped,insertion_anchor_containment,0.8,,sha256:fafb2b7783f3882dcadb550c6665abb3c509a865c9ab202842851fbbf53b5d81,get_auth_from_url,function,557,0,564,23,modified,1,requests/utils.py,requests/utils.py,558,6,558,7,,558 559 560 561 562 563,560,sha256:0fecab56da0b8c7b9ab835770f0911e9d7b1ff5862227ce15b912a10ae6c011c,approved,true,true,true,Verified against patch hunk base source and independent AST.
11,20260902,deletion nested_symbol,sha256:93230b17a92fe530bea4c388b709aa24fb0adc1855ba5d39958274ce7e3d3324,pallets__flask-4169,pallets/flask,66d9d4fa8d07dd50e4cb3036a9ae5f92c4693b84,src/flask/cli.py,mapped,modified_line_containment,1.0,,sha256:03ff400a150c86560e4a7e0c8bb5548bf4e4249df279a445e9864e0d21506a0b,DispatchingApp.__init__,method,311,4,323,38,modified,0,src/flask/cli.py,src/flask/cli.py,312,7,312,7,315,312 313 314 316 317 318,316,sha256:55b454613c216e69d95791ca67db720d986b44100da5e458a966f39d0c53f062,approved,true,true,true,Verified against patch hunk base source and independent AST.
12,20260902,deletion multi_file_ticket nested_symbol,sha256:c975ca88a1616e585f3b026cfd6d6117c6881c9af31e71741dc33c626bc820f4,matplotlib__matplotlib-26341,matplotlib/matplotlib,2aee6ccd7c7e1f8d282c1e7579f4ee546b838542,lib/matplotlib/axes/_base.py,mapped,modified_line_containment,1.0,,sha256:b3e8aa075db4c084131a9fb911a2e936f5f17530565da9bc608bee7156d7db0a,_process_plot_var_args.__getstate__,method,227,4,229,40,modified,1,lib/matplotlib/axes/_base.py,lib/matplotlib/axes/_base.py,224,18,223,11,227 228 229,224 225 226 235 236 237 239 240 241,239,sha256:cc30e06e9c4bc5ff197516196a0830f2ffad27d1b74555c6734b3db29edcfcc8,approved,true,true,true,Verified against patch hunk base source and independent AST.
13,20260902,pure_addition,sha256:2e737682bba51708ccd12ff3094b39b934fc870372a179cbe675abfed7b6671b,django__django-16517,django/django,c626173833784c86920b448793ac45005af4c058,django/contrib/admindocs/utils.py,mapped,insertion_anchor_containment,0.8,,sha256:e46f337fffb74cfc9e7611a5bcec8f3ddd44f863af1578a5d9fb9146e77b432b,create_reference_role,function,103,0,121,71,modified,0,django/contrib/admindocs/utils.py,django/contrib/admindocs/utils.py,101,6,101,9,,101 102 103 104 105 106,103,sha256:57df7875d4357dc532adf7158282485a013adf4f3728ab1c28cfd9293660930a,approved,true,true,true,Verified against patch hunk base source and independent AST.
