sample_index,gold_id,ticket_id,file_path,evidence_lines,expected_qualified_name,actual_qualified_name,expected_symbol_kind,actual_symbol_kind,file_correct,qualified_name_correct,symbol_kind_correct,source_range,verification_status,verification_note
1,sha256:1e78d6995fdea9863401f2ef824b175f6a1cb0068c2259f4a6ce21fe381f08be,pallets__flask-4642,src/flask/app.py,911 912 914 916,Flask.run,Flask.run,method,method,True,True,True,846-966,exact,Independent patch identity and AST scope agree.
2,sha256:ece0c8b6da1ee2d948bd51b42427242e2cedd3c05f02ded722c112efb4425450,pallets__flask-4642,src/flask/cli.py,965,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
3,sha256:89925fbbed6f4a41fa29933a7a5d1e6341f15f4573a147e864706bde88e730a8,pydata__xarray-4184,xarray/core/dataset.py,4560 4561 4562 4563 4564,Dataset._set_sparse_data_from_dataframe,Dataset._set_sparse_data_from_dataframe,method,method,True,True,True,4545-4580,exact,Independent patch identity and AST scope agree.
4,sha256:8f153cc4412474c19104130f51fc173b00cc74da92e944053b7fd97fbed3f26f,pallets__flask-5063,src/flask/cli.py,12,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
5,sha256:53e8b716cf6e3e1a3c7e54b6bd4925fb74c036bb750bb29fb44b19ad0db3a8cf,sympy__sympy-13903,sympy/printing/fcode.py,53,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
6,sha256:d130364525aeb82927103915cc6a5392b23c3b707e97472a8ff617927b16c8ee,scikit-learn__scikit-learn-13087,sklearn/calibration.py,575,calibration_curve,calibration_curve,function,function,True,True,True,522-586,exact,Independent patch identity and AST scope agree.
7,sha256:66e27b0a3719ad8d50223b04e51a664457405caaaa3aa8124afdd1b6651490e9,mwaskom__seaborn-2389,seaborn/matrix.py,135 136 137,_HeatMapper.__init__,_HeatMapper.__init__,method,method,True,True,True,99-192,exact,Independent patch identity and AST scope agree.
8,sha256:6da46f14dbb65ae65c2b45f7cb11151daf37a089c11bc50058d112665413f732,pydata__xarray-4184,xarray/core/dataset.py,4546 4550,Dataset._set_sparse_data_from_dataframe,Dataset._set_sparse_data_from_dataframe,method,method,True,True,True,4545-4580,exact,Independent patch identity and AST scope agree.
9,sha256:0bd3fd30c632df2cfbe08cc41b09bfde8977c62b9575fd5bdffdc652e0d6fb05,django__django-15139,django/contrib/sessions/serializers.py,1,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
10,sha256:baf7f17d42f5048feca5ab433feb51cd8d9e82b0cd456063dd025c1c4efdf1a8,psf__requests-1768,requests/utils.py,560,get_auth_from_url,get_auth_from_url,function,function,True,True,True,557-564,exact,Independent patch identity and AST scope agree.
11,sha256:93230b17a92fe530bea4c388b709aa24fb0adc1855ba5d39958274ce7e3d3324,pallets__flask-4169,src/flask/cli.py,315,DispatchingApp.__init__,DispatchingApp.__init__,method,method,True,True,True,311-323,exact,Independent patch identity and AST scope agree.
