ticket_id,repo,title,classification,classification_zh,review_reason,gold_files,implementation_files,source_api_files,evidence_count
astropy__astropy-14995,astropy/astropy,"In v5.3, NDDataRef mask propagation fails when one of the operand does not have a mask",irrelevant_mapping,無關對應,Ticket重點是NDDataRef的mask傳遞；constant被對到constants套件，與錯誤流程無關。,astropy/nddata/mixins/ndarithmetic.py,astropy/constants/constant.py,astropy/constants/__init__.py,1
astropy__astropy-12880,astropy/astropy,No longer able to read BinnedTimeSeries with datetime column saved as ECSV after upgrading from 4.2.1 -> 5.0+,relationship_correct_not_modified,關係正確但非本次修改位置,read/write確實是表格I/O入口，但證據指向通用ascii UI與core，本次修改位置是ecsv.py。,astropy/io/ascii/ecsv.py,astropy/io/ascii/ui.py | astropy/io/ascii/core.py,astropy/io/ascii/__init__.py | astropy/io/ascii/latex.py,6
astropy__astropy-12962,astropy/astropy,Convert CCDData to ImageHDU,relationship_correct_not_modified,關係正確但非本次修改位置,HDU類別的重新匯出關係正確且與需求相關，但本次新增轉換邏輯位於ccddata.py。,astropy/nddata/ccddata.py,astropy/io/fits/hdu/hdulist.py | astropy/io/fits/hdu/image.py | astropy/io/fits/hdu/table.py | astropy/io/fits/header.py,astropy/io/fits/hdu/__init__.py | astropy/io/fits/__init__.py,8
astropy__astropy-14598,astropy/astropy,Inconsistency in double single-quote ('') management in FITS Card,irrelevant_mapping,無關對應,Ticket中的fits套件名稱被錯對到units.format.Fits；真正問題在FITS Card。,astropy/io/fits/card.py,astropy/units/format/fits.py,astropy/units/format/__init__.py,1
astropy__astropy-14182,astropy/astropy,Please support header rows in RestructuredText output,correct_mapping,正確對應,rst公開格式名稱直接連到Gold檔案astropy/io/ascii/rst.py。,astropy/io/ascii/rst.py,astropy/io/ascii/ui.py | astropy/io/ascii/rst.py,astropy/io/ascii/__init__.py,5
astropy__astropy-13572,astropy/astropy,Problem in function nutation_matrix in earth_orientation.py,relationship_correct_not_modified,關係正確但非本次修改位置,nutation_matrix確實委派matrix_product，但本次錯誤應修改wrapper所在的earth_orientation.py。,astropy/coordinates/earth_orientation.py,astropy/coordinates/matrix_utilities.py,astropy/coordinates/earth_orientation.py,1
astropy__astropy-14528,astropy/astropy,`io.fits` creates a corrupt FITS files if a `ImageHDU` contains zero-dimensional data,correct_mapping,正確對應,ImageHDU公開名稱直接連到Gold檔案astropy/io/fits/hdu/image.py。,astropy/io/fits/hdu/image.py,astropy/io/fits/hdu/image.py | astropy/units/format/fits.py,astropy/io/fits/hdu/__init__.py | astropy/units/format/__init__.py,5
astropy__astropy-13465,astropy/astropy,rtol for FITSDiff not working as expected.,irrelevant_mapping,無關對應,fits字樣被錯對到units格式類別，與FITSDiff容差計算無關。,astropy/io/fits/diff.py | astropy/utils/diff.py,astropy/units/format/fits.py,astropy/units/format/__init__.py,1
astropy__astropy-13838,astropy/astropy,Printing tables doesn't work correctly with 0-length array cells,irrelevant_mapping,無關對應,程式片段中的p.group被錯對到FITS Group，與Table列印問題無關。,astropy/table/pprint.py,astropy/io/fits/hdu/groups.py,astropy/io/fits/hdu/__init__.py,1
astropy__astropy-14539,astropy/astropy,`io.fits.FITSDiff` may sometimes report differences between identical files,relationship_correct_not_modified,關係正確但非本次修改位置,BinTableHDU是問題涉及的資料型別，但本次比較邏輯修改在diff.py，不在table.py。,astropy/io/fits/diff.py,astropy/io/fits/hdu/table.py,astropy/io/fits/hdu/__init__.py,2
