split,split_role,ticket_id,repo,base_commit,title,outcome,primary_category,primary_category_zh,failure_stage,failure_stage_zh,suggested_next_step,gold_file_count,recovered_gold_count,gold_files,missing_gold_files,index_available,indexed_file_count,sparse_ticket_clues,manual_review_required
frozen_holdout_v1_posthoc,posthoc_description_only,astropy__astropy-13075,astropy/astropy,c660b079b6472920662ca4a0c731751a0342448c,Register format ``html`` to ``Cosmology.write`` with nice mathjax,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,2,1,astropy/cosmology/io/__init__.py | astropy/cosmology/io/html.py,astropy/cosmology/io/html.py,True,711,False,False
frozen_holdout_v1_posthoc,posthoc_description_only,astropy__astropy-14439,astropy/astropy,a3f4ae6cd24d5ecdf49f213d77b3513dd509a06c,Regarding FITS standard definition for 'Jy/beam',partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,2,1,astropy/modeling/physical_models.py | astropy/units/format/generic.py,astropy/modeling/physical_models.py,True,638,False,False
frozen_holdout_v1_posthoc,posthoc_description_only,astropy__astropy-13158,astropy/astropy,b185ca184f8dd574531dcc21e797f00537fefa6a,Model evaluation fails if any model parameter is a `MagUnit` type value,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,7,1,astropy/modeling/bounding_box.py | astropy/modeling/core.py | astropy/modeling/functional_models.py | astropy/modeling/parameters.py | astropy/modeling/powerlaws.py | astropy/modeling/rotations.py | astropy/modeling/utils.py,astropy/modeling/bounding_box.py | astropy/modeling/functional_models.py | astropy/modeling/parameters.py | astropy/modeling/powerlaws.py | astropy/modeling/rotations.py | astropy/modeling/utils.py,True,711,False,True
frozen_holdout_v1_posthoc,posthoc_description_only,astropy__astropy-14566,astropy/astropy,fc2e0754d9020bb9998bd0bb6ecb459d7f38bd44,"Problem with ""decimalyear"" applied to MaskedColumn type",miss,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,1,0,astropy/time/formats.py,astropy/time/formats.py,True,638,False,False
validation,method_selection,astropy__astropy-13398,astropy/astropy,6500928dc0e57be8f06d1162eacc3ba5e2eff692,A direct approach to ITRS to Observed transformations that stays within the ITRS.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,4,3,astropy/coordinates/builtin_frames/__init__.py | astropy/coordinates/builtin_frames/intermediate_rotation_transforms.py | astropy/coordinates/builtin_frames/itrs.py | astropy/coordinates/builtin_frames/itrs_observed_transforms.py,astropy/coordinates/builtin_frames/itrs_observed_transforms.py,True,710,False,False
validation,method_selection,astropy__astropy-8715,astropy/astropy,b2b0717108c8b5381f12bc4ab1c759e3705fb8a8,Silence warnings by default when reading in VO Tables,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,7,6,astropy/io/votable/__init__.py | astropy/io/votable/connect.py | astropy/io/votable/converters.py | astropy/io/votable/exceptions.py | astropy/io/votable/table.py | astropy/io/votable/tree.py | astropy/io/votable/validator/result.py,astropy/io/votable/validator/result.py,True,866,False,False
validation,method_selection,django__django-11539,django/django,f197c3dd9130b18397022605c27ffe5755f329d7,Move index name checks from Index.__init__ into system checks.,miss,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,2,0,django/db/models/base.py | django/db/models/indexes.py,django/db/models/base.py | django/db/models/indexes.py,True,799,False,True
validation,method_selection,astropy__astropy-12842,astropy/astropy,3a0cd2d8cd7b459cdc1e1b97a14f3040ccc1fffc,No longer able to read BinnedTimeSeries with datetime column saved as ECSV after upgrading from 4.2.1 -> 5.0+,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,2,1,astropy/time/core.py | astropy/time/formats.py,astropy/time/formats.py,True,707,False,False
frozen_holdout_v1_posthoc,posthoc_description_only,pydata__xarray-6971,pydata/xarray,a042ae69c0444912f94bb4f29c93fa05046893ed,Public API for setting new indexes: add a set_xindex method?,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,4,3,xarray/core/dataarray.py | xarray/core/dataset.py | xarray/core/indexes.py | xarray/indexes/__init__.py,xarray/indexes/__init__.py,True,109,False,False
frozen_holdout_v1_posthoc,posthoc_description_only,django__django-17046,django/django,95cdf9dc6627135f3893095892816eb3f2785e2e,Deleting objects after searching related many to many field crashes the admin page,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,2,1,django/contrib/admin/views/main.py | django/db/models/query.py,django/contrib/admin/views/main.py,True,819,False,False
