split,split_role,ticket_id,repo,base_commit,title,outcome,primary_category,primary_category_zh,failure_stage,failure_stage_zh,suggested_next_step,gold_file_count,recovered_gold_count,gold_files,missing_gold_files,index_available,indexed_file_count,sparse_ticket_clues,manual_review_required
development,development_only,matplotlib__matplotlib-25126,matplotlib/matplotlib,f3938be9f3be3446065e184b810ee0a8bcb54901,"[Bug]: ax.plot(x,y) disappears after changing y_scale",miss,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,人工檢查Ticket線索、索引與候選排名。,1,0,lib/matplotlib/transforms.py,lib/matplotlib/transforms.py,False,0,False,True
development,development_only,astropy__astropy-14701,astropy/astropy,a429c3984a14c995584455e51a6f3d7d9c16e914,Register ``latex`` to ``Cosmology.write``,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,2,1,astropy/cosmology/io/__init__.py | astropy/cosmology/io/latex.py,astropy/cosmology/io/latex.py,True,613,False,False
development,development_only,astropy__astropy-8747,astropy/astropy,2d99bedef58144e321ec62667eea495d4391ee58,Support new clip ufunc,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,5,4,astropy/units/function/core.py | astropy/units/quantity.py | astropy/units/quantity_helper/converters.py | astropy/units/quantity_helper/helpers.py | astropy/utils/compat/numpycompat.py,astropy/utils/compat/numpycompat.py,True,867,False,False
development,development_only,django__django-12771,django/django,0f2885e3f6e0c73c9f455dcbc0326ac11ba4b84c,Store ModeState.fields into a dict.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,5,3,django/db/migrations/autodetector.py | django/db/migrations/operations/fields.py | django/db/migrations/operations/models.py | django/db/migrations/operations/utils.py | django/db/migrations/state.py,django/db/migrations/autodetector.py | django/db/migrations/operations/utils.py,True,813,False,True
development,development_only,astropy__astropy-14413,astropy/astropy,34d79ea59b3ba25820dfe7fc9782e9014826e8b0,Unicode and console unit representations sometimes include an extraneous space,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,3,2,astropy/units/format/console.py | astropy/units/format/latex.py | astropy/units/format/unicode_format.py,astropy/units/format/latex.py,True,638,False,False
development,development_only,matplotlib__matplotlib-24749,matplotlib/matplotlib,84cc898d6475a6bd1f14bd60d53e914484768ca3,[Bug]: contour raises IndexError if Z is specified as keyword argument,miss,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,人工檢查Ticket線索、索引與候選排名。,1,0,lib/matplotlib/contour.py,lib/matplotlib/contour.py,False,0,False,True
development,development_only,astropy__astropy-7008,astropy/astropy,264d967708a3dcdb2bce0ed9f9ca3391c40f3ff3,Context manager for constant versions,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,4,3,astropy/constants/__init__.py | astropy/constants/astropyconst13.py | astropy/constants/astropyconst20.py | astropy/constants/utils.py,astropy/constants/utils.py,True,848,False,False
development,development_only,astropy__astropy-13933,astropy/astropy,5aa2d0beca53988e054d496c6dcfa2199a405fb8,Unpickled Angle.to_string fails,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,2,1,astropy/coordinates/angles.py | astropy/visualization/wcsaxes/formatter_locator.py,astropy/visualization/wcsaxes/formatter_locator.py,True,712,False,False
development,development_only,django__django-13250,django/django,bac5777bff8e8d8189193438b5af52f158a3f2a4,JSONField's __contains and __contained_by lookups don't work with nested values on SQLite.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,5,3,django/db/backends/base/features.py | django/db/backends/oracle/features.py | django/db/backends/sqlite3/base.py | django/db/backends/sqlite3/features.py | django/db/models/fields/json.py,django/db/backends/base/features.py | django/db/backends/oracle/features.py,True,806,False,True
development,development_only,astropy__astropy-12891,astropy/astropy,691ceab8aea8f7c37ee89b1b806801239bb2dc69,The `where` keyword argument of `np.mean` is not supported for `astropy.units.Quantity` instances.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,2,1,astropy/units/quantity.py | astropy/utils/masked/core.py,astropy/utils/masked/core.py,True,707,False,False
development,development_only,matplotlib__matplotlib-18869,matplotlib/matplotlib,b7d05919865fc0c37a0164cf467d5d5513bd0ede,Add easily comparable version info to toplevel,miss,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,人工檢查Ticket線索、索引與候選排名。,1,0,lib/matplotlib/__init__.py,lib/matplotlib/__init__.py,False,0,False,True
development,development_only,django__django-12928,django/django,859cd7c6b43bf70e2852eda10f635c70feeb397f,Implement autoreload behaviour for cached template loader,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,5,2,django/template/__init__.py | django/template/autoreload.py | django/template/loaders/cached.py | django/utils/autoreload.py | django/utils/translation/reloader.py,django/template/__init__.py | django/template/autoreload.py | django/utils/translation/reloader.py,True,807,False,False
development,development_only,django__django-13884,django/django,fdfbc66331292def201c9344e3cd29fbcbcd076a,"i18n.set_language unquotes next_url and produces wrong url for url params containing ""&"" character",partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,2,1,django/urls/base.py | django/views/i18n.py,django/urls/base.py,True,808,False,False
development,development_only,django__django-13207,django/django,ba6b32e5efc4c813ba4432777b3b1743d4205d14,Custom collations,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,16,1,django/core/management/commands/inspectdb.py | django/db/backends/base/features.py | django/db/backends/base/introspection.py | django/db/backends/base/schema.py | django/db/backends/mysql/features.py | django/db/backends/mysql/introspection.py | django/db/backends/mysql/schema.py | django/db/backends/oracle/features.py | django/db/backends/oracle/introspection.py | django/db/backends/oracle/schema.py | django/db/backends/postgresql/features.py | django/db/backends/postgresql/introspection.py | django/db/backends/sqlite3/features.py | django/db/backends/sqlite3/introspection.py | django/db/backends/sqlite3/schema.py | django/db/models/fields/__init__.py,django/core/management/commands/inspectdb.py | django/db/backends/base/features.py | django/db/backends/base/introspection.py | django/db/backends/base/schema.py | django/db/backends/mysql/features.py | django/db/backends/mysql/introspection.py | django/db/backends/mysql/schema.py | django/db/backends/oracle/features.py | django/db/backends/oracle/introspection.py | django/db/backends/oracle/schema.py | django/db/backends/postgresql/features.py | django/db/backends/postgresql/introspection.py | django/db/backends/sqlite3/features.py | django/db/backends/sqlite3/introspection.py | django/db/backends/sqlite3/schema.py,True,806,False,True
development,development_only,django__django-13495,django/django,b26ec77deb7c5052163ef8514ec7db70c0a5ea2a,Trunc() function take tzinfo param into account only when DateTimeField() are used as output_field,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,7,4,django/db/backends/base/operations.py | django/db/backends/mysql/operations.py | django/db/backends/oracle/operations.py | django/db/backends/postgresql/operations.py | django/db/backends/sqlite3/base.py | django/db/backends/sqlite3/operations.py | django/db/models/functions/datetime.py,django/db/backends/base/operations.py | django/db/backends/sqlite3/base.py | django/db/backends/sqlite3/operations.py,True,806,False,False
development,development_only,matplotlib__matplotlib-25027,matplotlib/matplotlib,f0f133943d3e4f1e2e665291fe1c8f658a84cc09,[ENH]: support RGB(A) in pcolor,partial_recall,cross_file_partial_miss,只找回部分正確檔案,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,人工確認遺漏檔案與已命中檔案的程式關係。,2,1,lib/matplotlib/axes/_axes.py | lib/matplotlib/collections.py,lib/matplotlib/collections.py,False,0,False,True
development,development_only,django__django-15272,django/django,847f46e9bf88964484c8b76a10af753ea1018311,Add a management command to optimize a migration,miss,index_coverage_failure,正確檔案未進入Code Index,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,1,0,django/core/management/commands/optimizemigration.py,django/core/management/commands/optimizemigration.py,True,813,False,False
development,development_only,django__django-13354,django/django,225261b70136fa90e63b6cf4ea10341e793d7341,MigrationOptimizer mangles operation order if app name contains uppercase letters.,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,django/db/migrations/operations/utils.py,django/db/migrations/operations/utils.py,True,806,False,False
development,development_only,django__django-13530,django/django,ac6c4260074de43a978e5c6553ef89441e1d6748,Using KeyTransform for JSONField produces invalid SQL in various places.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,5,1,django/contrib/postgres/aggregates/mixins.py | django/contrib/postgres/constraints.py | django/db/models/expressions.py | django/db/models/fields/json.py | django/db/models/lookups.py,django/contrib/postgres/aggregates/mixins.py | django/contrib/postgres/constraints.py | django/db/models/expressions.py | django/db/models/lookups.py,True,806,False,True
development,development_only,django__django-13512,django/django,b79088306513d5ed76d31ac40ab3c15f858946ea,Admin doesn't display properly unicode chars in JSONFields.,partial_recall,cross_file_partial_miss,只找回部分正確檔案,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,2,1,django/contrib/admin/utils.py | django/forms/fields.py,django/contrib/admin/utils.py,True,806,False,False
development,development_only,matplotlib__matplotlib-26078,matplotlib/matplotlib,fc350ea5343cf96e231656d97d4b7ac2f32c97d8,[Bug]: parasite_axes does not properly handle units,partial_recall,cross_file_partial_miss,只找回部分正確檔案,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,人工確認遺漏檔案與已命中檔案的程式關係。,3,1,lib/matplotlib/axes/_axes.py | lib/matplotlib/axes/_base.py | lib/mpl_toolkits/mplot3d/axes3d.py,lib/matplotlib/axes/_axes.py | lib/mpl_toolkits/mplot3d/axes3d.py,False,0,False,True
development,development_only,psf__requests-2678,psf/requests,276202f51ee9967969eafc1880c4785c80d63d3b,urllib3 exceptions passing through requests API,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,16,11,requests/adapters.py | requests/auth.py | requests/packages/__init__.py | requests/packages/urllib3/__init__.py | requests/packages/urllib3/connection.py | requests/packages/urllib3/connectionpool.py | requests/packages/urllib3/contrib/appengine.py | requests/packages/urllib3/contrib/pyopenssl.py | requests/packages/urllib3/exceptions.py | requests/packages/urllib3/poolmanager.py | requests/packages/urllib3/request.py | requests/packages/urllib3/response.py | requests/packages/urllib3/util/connection.py | requests/packages/urllib3/util/response.py | requests/packages/urllib3/util/retry.py | requests/packages/urllib3/util/ssl_.py,requests/auth.py | requests/packages/__init__.py | requests/packages/urllib3/contrib/appengine.py | requests/packages/urllib3/contrib/pyopenssl.py | requests/packages/urllib3/util/ssl_.py,True,82,False,False
development,development_only,django__django-15388,django/django,c5cd8783825b5f6384417dac5f3889b4210b7d08,Dev Server fails to restart after adding BASE_DIR to TEMPLATES[0]['DIRS'] in settings,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,1,0,django/template/autoreload.py,django/template/autoreload.py,True,813,False,False
development,development_only,django__django-12821,django/django,6c19c2ca51746f30fa35668876416c9178487388,Stop minifying only some admin static assets,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,3,1,django/contrib/admin/bin/compress.py | django/contrib/admin/helpers.py | django/contrib/admin/options.py,django/contrib/admin/helpers.py | django/contrib/admin/options.py,True,815,False,True
development,development_only,django__django-11062,django/django,cbf7e71558c94ce1c327b683768a18a25d82d197,Using an annotated field calculated with django.db.models.functions.Extract in aggregate results in ProgrammingError,miss,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,1,0,django/db/models/sql/query.py,django/db/models/sql/query.py,True,798,False,False
development,development_only,matplotlib__matplotlib-25551,matplotlib/matplotlib,5b85655c84fb2e149a548374d7259230577b6181,handling of zeros in log-scale changes irreversibly after user zoom,partial_recall,cross_file_partial_miss,只找回部分正確檔案,analysis_unavailable,缺少Code Index或TF-IDF前50資料，暫時無法判定,人工確認遺漏檔案與已命中檔案的程式關係。,2,1,lib/matplotlib/axes/_base.py | lib/mpl_toolkits/mplot3d/axes3d.py,lib/mpl_toolkits/mplot3d/axes3d.py,False,0,True,True
development,development_only,pydata__xarray-4184,pydata/xarray,65ca92a5c0a4143d00dd7a822bcb1d49738717f1,Stack + to_array before to_xarray is much faster that a simple to_xarray,partial_recall,cross_file_partial_miss,只找回部分正確檔案,index_coverage_failure,正確檔案未進入Code Index,檢查測試檔排除規則、支援副檔名與檔案大小限制。,3,1,asv_bench/benchmarks/pandas.py | xarray/core/dataset.py | xarray/core/indexes.py,asv_bench/benchmarks/pandas.py | xarray/core/indexes.py,True,96,False,False
development,development_only,django__django-14894,django/django,9466fd78420a851460c92673dad50a5737c75b12,Incorrect annotation value when doing a subquery with empty queryset,partial_recall,cross_file_partial_miss,只找回部分正確檔案,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,優先測試API查詢擴充、Import Graph與較大的TF-IDF候選池。,6,5,django/contrib/postgres/aggregates/statistics.py | django/db/models/aggregates.py | django/db/models/expressions.py | django/db/models/functions/comparison.py | django/db/models/sql/compiler.py | django/db/models/sql/query.py,django/contrib/postgres/aggregates/statistics.py,True,811,False,False
development,development_only,django__django-15629,django/django,694cf458f16b8d340a3195244196980b2dec34fd,Errors with db_collation – no propagation to foreignkeys,partial_recall,cross_file_partial_miss,只找回部分正確檔案,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,分別處理初步檢索與SBERT重排，不能只調整單一階段。,4,1,django/db/backends/base/schema.py | django/db/backends/oracle/features.py | django/db/backends/sqlite3/schema.py | django/db/models/fields/related.py,django/db/backends/base/schema.py | django/db/backends/oracle/features.py | django/db/backends/sqlite3/schema.py,True,815,False,True
development,development_only,django__django-15401,django/django,11cc227344de06ffd0ad7f07c4e4bdd18851adac,Deprecate passing unsaved objects to related filters.,miss,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,檢查SBERT重排與檔案分數整合，避免正確檔案被排出Top-20。,1,0,django/db/models/fields/related_lookups.py,django/db/models/fields/related_lookups.py,True,814,False,False
